분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
F 할로카본 및 육불화황 소비_9 기타(잠재배출량),0,0,6.43432,12.83264,1570.9053,2538.5126,3506.9355,3798.24534,2876.7349,4326.12048,5098.68388,5211.30162,6560.88938,6327.37508,6444.02596,6482.579,5889.61672,7118.3746,6654.44588,5636.2237,7844.6433,7658.46992,8380.58012,7766.589,8134.32952,7729.8007,7174.16264,9337.15842,8822.44576,6324.90555,5942.64292,7068.7527
농업,20971.69685,21238.36345,21640.66984,22108.39014,22554.06664,22820.64849,23333.73263,23341.75331,23066.85372,21941.912,21368.79123,20868.2954,20731.307,20473.99632,20567.85425,20738.72773,20844.82036,21070.50426,21145.9855,21654.56763,22070.24878,21120.56692,21470.18203,21347.72355,21374.42581,20983.963,20809.52026,20958.19297,21135.52763,20964.73088,21173.06173,21414.89869
A 장내발효,2960.20543,3124.76769,3361.65201,3738.34746,3967.86555,4116.14167,4425.51996,4459.93103,4292.15901,3713.91192,3376.89796,3138.11138,3102.23445,3089.77017,3210.29106,3304.99331,3465.03693,3631.40153,3818.26463,3994.96523,4262.32803,4221.63275,4389.96974,4363.17842,4492.65013,4339.45384,4318.10717,4400.16312,4470.99328,4588.64642,4743.1164,4908.10997
A 장내발효_1 소,2796.69814,2940.39566,3146.7397,3500.89242,3713.7719,3843.92036,4139.85214,4162.54183,3974.28256,3399.45421,3049.36714,2801.19471,2754.94257,2732.29455,2854.52748,2949.78865,3101.20092,3263.46435,3472.27866,3651.6489,3907.347,3938.51173,4045.85479,4002.45825,4140.40391,3979.89484,3946.02573,3997.50642,4054.4485,4163.83635,4320.66567,4487.44969
A 장내발효_2 물소,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A 장내발효_3 양(면양),0.34846,0.3501,0.36971,0.32529,0.26051,0.17861,0.16761,0.16545,0.15186,0.13248,0.11057,0.09541,0.08502,0.08932,0.098,0.11238,0.12485,0.15085,0.21276,0.27954,0.45867,0.4593,0.45297,0.29911,0.27146,0.27916,0.24115,0.25785,0.23993,0.25883,0.24619,0.23454
A 장내발효_4 양(산양),17.76061,25.03106,37.05986,49.18123,58.17074,64.45527,68.55716,68.5818,63.60403,57.66229,52.25521,48.82091,46.68941,47.866,50.87936,53.6228,53.06787,47.6756,38.70531,31.09897,26.58653,25.94613,26.20538,26.17972,26.27723,27.21729,30.92691,35.91868,44.97048,52.794,56.77563,53.28789
A 장내발효_5 낙타 및 라마,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A 장내발효_6 말,1.64493,1.88937,2.00453,2.02545,2.04435,2.13772,2.33806,2.59056,2.87469,3.07919,3.45026,3.96283,4.7119,5.43073,6.18685,6.97133,7.80784,8.61575,9.5474,10.2753,10.96213,11.23643,11.35991,11.22635,10.69286,9.07515,8.86523,9.11786,10.49945,10.51747,10.42738,10.38152
A 장내발효_7 노새 및 당나귀,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A 장내발효_8 돼지,138.98447,151.50472,169.01991,178.61122,185.3421,196.11872,204.09567,214.17359,238.06823,239.37967,256.71795,268.38266,279.70626,288.18417,283.31606,280.18732,289.74149,299.81663,287.48015,292.84318,309.30689,238.7728,300.32866,318.05381,310.53688,319.0073,328.43132,354.04091,357.78852,358.3815,352.32349,354.20463
A 장내발효_9 가금류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A 장내발효_10 기타 가축(사슴),4.76882,5.59678,6.45831,7.31185,8.27596,9.331,10.50931,11.87781,13.17764,14.20409,14.99684,15.65487,16.0993,15.9054,15.28331,14.31084,13.09395,11.67834,10.04034,8.81934,7.66682,6.70635,5.76804,4.96118,4.46778,3.9801,3.61683,3.32139,3.0464,2.85828,2.67803,2.55171
B 가축분뇨처리,2845.72784,3060.68427,3325.05644,3637.65552,3851.04627,4053.44244,4312.84213,4387.23012,4331.49324,4006.4497,3871.20771,3775.35326,3811.11316,3809.65211,3878.71292,4029.41587,4174.65185,4315.09193,4357.63716,4552.63686,4803.01847,4521.82319,4675.5525,4739.27563,4706.7635,4591.84431,4503.55009,4662.28826,4936.1202,4897.49352,5165.54014,5380.98358
B 가축분뇨처리_1 소,1820.22217,1912.78642,2045.64396,2275.1935,2412.98163,2496.60961,2687.47354,2701.73278,2580.77363,2209.74867,1984.53423,1824.86233,1795.05594,1780.06596,1857.73247,1918.37301,2015.25834,2119.20233,2253.30869,2368.68385,2533.09037,2551.89271,2615.45587,2637.77578,2699.62881,2509.62772,2403.69981,2430.63261,2516.03055,2579.04796,2645.45692,2718.3223
B 가축분뇨처리_2 물소,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 가축분뇨처리_3 양(면양),0.39497,0.39683,0.41905,0.36871,0.29527,0.20244,0.18999,0.18753,0.17213,0.15016,0.12532,0.10814,0.09636,0.10124,0.11108,0.12738,0.14151,0.17098,0.24116,0.31686,0.51989,0.52061,0.51343,0.33903,0.30769,0.31642,0.27334,0.29226,0.27195,0.29337,0.27905,0.26584
B 가축분뇨처리_4 양(산양),66.31039,93.45506,138.36536,183.6213,217.1842,240.6479,255.96259,256.05458,237.46976,215.28589,195.0982,182.276,174.31791,178.7108,189.96138,200.20419,198.13234,177.99993,144.50878,116.11001,99.26251,96.87155,97.83946,97.74368,98.10774,101.61753,115.46762,134.10471,167.90021,197.10981,211.9755,198.95376
B 가축분뇨처리_5 낙타 및 라마,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 가축분뇨처리_6 말,1.79552,2.06233,2.18804,2.21087,2.2315,2.33341,2.5521,2.82771,3.13786,3.36107,3.76611,4.32561,5.14325,5.92789,6.75323,7.60952,8.52262,9.40449,10.42142,11.21596,11.96566,12.26507,12.39986,12.25407,11.67175,9.90594,9.67681,9.95257,11.46063,11.4803,11.38196,11.3319
B 가축분뇨처리_7 노새 및 당나귀,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 가축분뇨처리_8 돼지,590.21283,643.38148,717.76166,758.49221,787.07564,832.83975,866.71474,909.51171,1010.98293,1016.55214,1090.18104,1139.71651,1187.80341,1223.80579,1203.13281,1189.84629,1230.41912,1273.20432,1220.8161,1243.59081,1313.50574,1013.97499,1175.79053,1200.7791,1146.4379,1165.77008,1187.87676,1374.89432,1399.78384,1277.03584,1340.72015,1433.3201
B 가축분뇨처리_9 가금류,348.98728,387.7062,396.56586,390.46967,400.3792,445.97142,460.71199,472.56923,449.75736,508.31992,541.51115,565.61619,588.58851,561.65659,563.96073,659.82505,673.2908,691.50802,690.85473,779.79181,816.04973,821.25967,752.01802,771.86109,733.92885,789.74668,773.0521,700.01115,829.29909,821.85468,945.72798,1009.26271
B 가축분뇨처리_10 기타 가축(사슴),17.8047,20.89594,24.1125,27.29926,30.89883,34.83789,39.23719,44.34657,49.19957,53.03187,55.99165,58.44847,60.10778,59.38384,57.06123,53.43043,48.88713,43.60186,37.48628,32.92756,28.62457,25.03859,21.53533,18.52289,16.68076,14.85994,13.50367,12.40064,11.37393,10.67155,9.99858,9.52697
C 벼재배,10532.98583,10370.55534,10079.28526,9784.87341,9494.91243,9228.65313,8997.76816,8869.05226,8885.59168,8920.58734,8945.6495,8962.91039,8924.65252,8788.66822,8589.95216,8395.25636,8249.37677,8144.30089,8047.03907,7981.74264,7835.65243,7561.80929,7276.18426,7015.27336,6893.01697,6792.93609,6726.55504,6549.77787,6251.18932,5913.48037,5647.77708,5432.2767
C 벼재배_1 관개,10480.76315,10319.2584,10029.55254,9736.65423,9448.1857,9183.24679,8953.52745,8825.46711,8841.93889,8876.80138,8901.74397,8918.90484,8880.82423,8745.50816,8547.81353,8354.10325,8208.94457,8104.39412,8007.61372,7942.64368,7797.27217,7522.94011,7233.85451,6974.13571,6855.93021,6761.81736,6695.37429,6518.46846,6221.46649,5888.1326,5625.62627,5413.22244
C 벼재배_2 천수답,52.22267,51.29694,49.73273,48.21918,46.72674,45.40633,44.24071,43.58516,43.65278,43.78597,43.90553,44.00555,43.82829,43.16006,42.13862,41.15312,40.4322,39.90678,39.42535,39.09897,38.38026,38.86918,42.32975,41.13766,37.08676,31.11873,31.18076,31.30941,29.72283,25.34778,22.15082,19.05425
D 농경지토양,4605.55056,4658.5875,4852.90354,4927.74999,5221.2181,5402.23908,5575.42787,5602.28357,5535.571,5279.09267,5152.77989,4968.3293,4870.39147,4764.77262,4868.60468,4988.18745,4934.32073,4958.80644,4902.99324,5105.31684,5150.63105,4798.45091,5112.56253,5213.91427,5265.64592,5243.74463,5246.17306,5331.37848,5462.37569,5549.28303,5603.32494,5682.12946
D 농경지토양_1 직접배출,2427.17284,2461.0307,2576.1275,2627.1107,2794.76306,2900.99123,3003.28977,3020.52299,2981.3322,2832.07655,2760.71501,2659.89838,2611.14914,2554.85476,2617.19364,2689.87073,2672.64133,2692.34634,2668.56653,2784.94639,2819.49965,2625.4726,2809.26729,2871.74893,2902.16773,2890.33857,2891.01328,2939.75392,3012.85663,3063.29707,3096.37165,3144.10973
D 농경지토양_2 목장 방목구역 분료(거름),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D 농경지토양_3 간접배출,2178.37771,2197.55681,2276.77604,2300.63929,2426.45504,2501.24785,2572.1381,2581.76058,2554.2388,2447.01612,2392.06488,2308.43092,2259.24234,2209.91786,2251.41104,2298.31672,2261.67939,2266.4601,2234.42672,2320.37045,2331.1314,2172.97831,2303.29524,2342.16533,2363.47818,2353.40606,2355.15978,2391.62456,2449.51905,2485.98596,2506.95329,2538.01973
E 사바나 소각,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 작물잔사소각,27.2272,23.76864,21.77258,19.76375,19.02428,20.17218,22.17452,23.25633,22.0388,21.87037,22.25617,23.59106,22.9154,21.1332,20.29344,20.87474,21.43408,20.90347,20.05141,19.90606,18.61879,16.85078,15.91299,16.08186,16.3493,15.98413,15.1349,14.58523,14.84914,15.82753,13.30317,11.39898
F 작물잔사소각_1 곡류,5.915,5.03663,4.25408,3.88231,3.48343,3.46162,3.45253,3.34796,2.91571,2.65162,2.48911,2.79429,2.70639,2.77608,2.53013,2.47594,2.39086,2.29577,2.23938,2.38991,2.41087,2.4192,2.26722,1.961,1.78153,1.73674,2.00956,2.1141,2.12161,1.63932,1.3952,1.28713
F 작물잔사소각_2 두류(콩),7.65654,6.97402,6.17862,5.56499,5.16512,4.96654,4.86183,4.45846,4.24167,3.80294,3.82467,3.60705,3.57089,3.4554,3.59659,4.15551,4.58245,4.34175,3.88859,3.75959,3.68146,3.63761,3.47335,3.94147,4.08746,3.93693,3.21916,2.71742,2.76787,3.24394,2.67263,2.26727
F 작물잔사소각_3 근채류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 작물잔사소각_4 사탕수수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 작물잔사소각_5 기타,13.65566,11.758,11.33988,10.31645,10.37572,11.74402,13.86016,15.44991,14.88142,15.41581,15.94239,17.18972,16.63812,14.90171,14.16672,14.24329,14.46078,14.26594,13.92344,13.75656,12.52645,10.79397,10.17242,10.1794,10.4803,10.31046,9.90617,9.75372,9.95966,10.94427,9.23533,7.84458
LULUCF,-37945.84178,-33967.086,-33137.19247,-31551.82542,-33931.45353,-32161.25707,-35847.58162,-40614.16677,-48928.95278,-57080.35517,-60094.71488,-59539.60082,-57356.90249,-56871.76326,-58277.36275,-56322.26801,-57447.46538,-58125.09663,-59045.28871,-58848.84217,-56089.90453,-55245.00411,-49264.5186,-45031.45094,-45877.8204,-46571.83057,-46942.60512,-41701.29421,-40343.63934,-37720.11724,-37886.56171,-37766.31726
A 산림지,-38226.51129,-34164.23581,-33542.19195,-31971.37302,-34377.76848,-33104.37186,-37033.67497,-41948.40184,-50616.1096,-58350.89519,-61380.17046,-60937.94137,-58844.14344,-58359.59852,-59625.34892,-57678.26991,-59191.92661,-60261.48927,-61488.16185,-61294.64643,-58843.38109,-57762.62288,-51554.84255,-47052.53244,-47860.79689,-48504.59791,-48732.42453,-43830.84957,-42690.77525,-40261.67374,-40521.96255,-40388.58252
A 산림지_1 산림지로 유지된 산림지,-38226.51129,-34164.23581,-33542.19195,-31971.37302,-34377.76848,-33104.37186,-37033.67497,-41948.40184,-50616.1096,-58350.89519,-61380.17046,-60937.94137,-58844.14344,-58359.59852,-59625.34892,-57678.26991,-59191.92661,-60261.48927,-61488.16185,-61294.64643,-58843.38109,-57762.62288,-51554.84255,-47052.53244,-47860.79689,-48504.59791,-48732.42453,-43830.84957,-42690.77525,-40261.67374,-40521.96255,-40388.58252
A 산림지_2 타토지에서 전용된 산림지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A 산림지_3 산림지에서 질소 시비로 인한 N2O 배출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A 산림지_4 산림지에서 배수로 인한 Non-CO2 배출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A 산림지_5 산림지에서 바이오매스 연소에 의한 배출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 농경지,443.78911,589.79613,771.33319,935.93474,1155.01883,1641.96646,2000.73805,2154.84473,2226.26504,2211.824,2201.08087,2264.43954,2347.99969,2408.15478,2427.49005,2510.05953,2702.17852,2903.93456,3082.01372,3237.4875,3286.23367,3377.46122,2994.95558,2961.33585,2992.77129,2651.95571,2576.2713,2650.01799,2749.48144,2772.25899,2834.25014,3008.58229
B 농경지_1 농경지로 유지된 농경지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 농경지_2 타토지에서 전용된 농경지,-1541.79012,-1330.68001,-1035.40982,-780.6369,-427.49432,-430.57042,-326.00669,-323.32282,-374.68382,-389.66006,-390.51835,-350.52173,-393.33814,-361.00881,-326.0878,-327.31076,-311.46293,-361.8427,-375.10267,-371.89762,-377.79699,-344.76556,-281.27283,-226.80689,-165.81426,-79.33582,-145.76589,-138.62169,-124.84307,-107.96585,-95.5496,-201.08969
B 농경지_3 타토지로 전용된 농경지,1908.35923,1848.0228,1741.43968,1630.77164,1491.94648,1991.50355,2245.23474,2381.88089,2490.83886,2495.66406,2487.68589,2491.98127,2591.6645,2632.83692,2631.55118,2701.59362,2889.01145,3157.35393,3361.37972,3499.38512,3578.26733,3583.48012,3151.01174,3075.90608,3033.33222,2615.9382,2607.38052,2670.60968,2769.97118,2807.07484,2836.49041,3127.31865
B 농경지_4 농경지로의 전용에 따른 N2O 배출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 농경지_5 농경지에서 농업용 석회시용으로 인한 CO2 배출,77.22,72.45333,65.30333,85.8,90.56667,81.03333,81.51,96.28667,110.11,105.82,103.91333,122.98,149.67333,136.32667,122.02667,135.77667,124.63,108.42333,95.73667,110,85.76333,138.74667,125.21667,112.23667,125.25333,115.35333,114.65667,118.03,104.35333,73.15,93.30933,82.35333
B 농경지_6 농경지에서 바이오매스 연소에 의한 배출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C 초지,-648.66161,-689.1024,-663.8049,-657.06447,-656.03808,-670.63416,-688.09859,-704.77654,-710.4685,-710.72401,-717.82647,-699.38332,-666.41203,-648.50306,-602.03325,-514.27605,-364.91169,-288.58523,-243.92383,-223.64618,-204.88044,-156.2403,-169.05178,-162.09023,-145.66962,-116.88597,-86.01122,-54.04751,-35.18527,-23.15117,-15.50046,-6.6776
C 초지_1 초지로 유지된 초지,0,0,0,0,0,-670.63416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C 초지_2 타토지에서 전용된 초지,-648.66161,-689.1024,-663.8049,-657.06447,-656.03808,0,-688.09859,-704.77654,-710.4685,-710.72401,-717.82647,-699.38332,-666.41203,-648.50306,-602.03325,-514.27605,-364.91169,-288.58523,-243.92383,-223.64618,-204.88044,-156.2403,-169.05178,-162.09023,-145.66962,-116.88597,-86.01122,-54.04751,-35.18527,-23.15117,-15.50046,-6.6776
C 초지_3 초지에서 농업용 석회시용으로 인한 CO2 배출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C 초지_4 초지에서 바이오매스 연소에 의한 배출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D 습지,279.79349,253.10097,263.86944,254.98232,260.35967,280.60731,277.23521,298.4617,311.03446,302.4901,316.70715,324.14133,334.31964,325.40436,310.98565,277.23795,287.50676,295.5736,318.23931,310.02211,297.53895,312.08806,291.69866,295.1433,312.44413,354.11404,343.21268,310.92625,299.50522,301.228,306.86267,304.03912
D 습지_1 습지로 유지된 습지,193.49194,174.11172,181.08359,172.7713,177.51837,184.61051,185.83082,204.97145,216.47807,212.19414,224.87112,231.29173,240.53807,236.77683,231.70326,223.31445,240.65145,245.78628,258.16049,249.02073,240.70889,254.05787,239.48187,243.23067,258.35337,291.91767,278.03875,260.20008,263.90378,269.51995,276.29158,277.10258
D 습지_2 타토지에서 전용된 습지,86.30155,78.98925,82.78584,82.21103,82.8413,95.9968,91.40439,93.49025,94.55639,90.29596,91.83603,92.8496,93.78157,88.62753,79.2824,53.9235,46.85532,49.78732,60.07882,61.00138,56.83005,58.03019,52.21679,51.91263,54.09077,62.19637,65.17393,50.72618,35.60144,31.70805,30.57109,26.93655
D 습지_3 습지에서 배수로 인한 Non0CO2 배출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D 습지_4 습지에서 바이오매스 연소에 의한 배출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E 정주지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 기타토지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G 기타,205.74853,43.35511,33.60176,-114.30499,-313.02546,-308.82482,-403.78132,-414.29482,-139.67418,-533.05007,-514.50596,-490.857,-528.66634,-597.22082,-788.45627,-917.01952,-880.31236,-774.53029,-713.45606,-878.05916,-625.41561,-1015.69022,-827.2785,-1073.30742,-1176.56932,-956.41645,-1043.65334,-777.34138,-666.66548,-508.77932,-490.21151,-683.67855
폐기물,10393.78495,11650.03739,12762.48495,13515.25388,14472.32698,15819.44458,16593.44878,17309.04879,16108.6031,16936.34362,18907.08898,19822.78649,18789.27871,18883.05198,17755.63523,16848.74352,17104.28717,15848.46416,15611.66687,15557.18023,15351.56439,16026.07215,16134.77937,16358.5154,15849.39225,16883.37145,17183.11868,17588.56367,17416.43083,16513.31394,16684.26682,16104.78761
A 폐기물매립,7491.83182,8203.37921,8745.38009,9159.85321,9552.44218,9795.9024,10099.36379,10435.76585,9547.74324,9520.10516,9543.03553,9985.26197,9982.21338,10071.30491,9013.37321,8875.98957,8614.22422,7972.32888,7856.96825,7933.6592,7754.61513,7609.83525,7250.26047,7184.32091,7335.34533,7727.36384,7598.23216,7874.51752,7833.58783,7728.2248,7732.24477,7529.28607
A 폐기물매립_1 관리형 매립,5347.01864,5956.58928,6497.28622,6972.81981,7392.15512,7690.4657,8057.06327,8442.32352,7607.49654,7650.74597,7750.25724,8277.6749,8356.99935,8524.59008,7542.09256,7476.46412,7282.95444,6705.98589,6652.38554,6787.82467,6664.66361,6573.0413,6264.03156,6246.19095,6442.96851,6878.50875,6790.77622,7106.44167,7102.97148,7033.24103,7071.15576,6900.43875
A 폐기물매립_2 비관리형 매립,2144.81318,2246.78992,2248.09387,2187.0334,2160.28706,2105.4367,2042.30051,1993.44233,1940.2467,1869.35919,1792.7783,1707.58707,1625.21403,1546.71482,1471.28065,1399.52545,1331.26978,1266.34299,1204.58271,1145.83452,1089.95151,1036.79395,986.22891,938.12996,892.37682,848.85509,807.45594,768.07585,730.61635,694.98377,661.08901,628.84732
B 하폐수처리,1472.64102,1526.64358,1635.91022,1454.16527,1840.01089,1848.88534,1760.08408,1616.54296,1642.64518,1636.65877,1622.9884,1663.51337,1725.52634,1667.35799,1604.43382,1745.24035,1576.48075,1642.72381,1575.37065,1590.42934,1697.23583,1902.09394,1716.46525,1792.19835,1719.63325,1696.17594,1775.463,1866.48763,1725.2012,1541.12409,1570.91163,1438.73336
B 하폐수처리_1 폐수처리,73.85662,88.50258,112.8768,130.45716,177.52923,211.5168,116.03172,112.81287,95.26569,116.26549,116.26549,137.26529,161.7545,164.55486,129.67451,182.36991,120.24074,229.4133,214.23304,213.26103,261.79778,458.81846,298.10384,397.55364,346.3379,279.96023,375.65621,480.84379,321.96346,135.56845,172.62524,71.93024
B 하폐수처리_2 하수처리,1398.7844,1438.141,1523.03342,1323.70811,1662.48166,1637.36854,1644.05236,1503.73008,1547.3795,1520.39328,1506.72291,1526.24809,1563.77184,1502.80313,1474.7593,1562.87044,1456.24001,1413.31051,1361.13761,1377.16831,1435.43805,1443.27548,1418.36141,1394.64471,1373.29535,1416.21571,1399.80679,1385.64383,1403.23774,1405.55565,1398.28639,1366.80312
C 폐기물소각,1429.31211,1920.01461,2381.19464,2901.23539,3065.52889,4172.93939,4728.71153,5240.98583,4903.07063,5725.2366,7634.59918,8068.98972,6924.04539,6986.43656,6973.87827,5989.66557,6626.29393,5928.079,5864.78378,5697.26784,5614.11704,6175.47066,6811.13469,6951.77968,6303.30095,6836.54813,7116.55035,7148.25883,7067.15628,6406.80121,6593.22603,6326.01861
D 기타,0,0,0,0,14.34502,1.71745,5.28938,15.75415,15.14405,54.34309,106.46587,105.02142,157.49361,157.95252,163.94993,237.84803,287.28827,305.33248,314.54419,335.82386,285.5964,338.67229,356.91895,430.21646,491.11272,623.28354,692.87316,699.2997,790.48552,837.16384,787.88439,810.74957
별도항목(Memo Item),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C 국제벙커링 및 다국적 작전,13947.29207,16767.67819,20811.83027,22053.60836,25421.0868,29288.39457,34901.27113,38303.13956,37885.53396,40983.09743,38853.06342,37972.83327,38058.61392,40698.57805,42483.51607,42937.63652,41005.47182,41604.00861,39131.89886,35925.98281,38444.28516,38168.15482,37410.42754,37434.46187,37979.31329,41037.238,46090.82752,47007.15607,46129.5347,42104.05441,41692.27191,41518.60035
C 국제벙커링 및 다국적 작전_1 벙커링,13947.29207,16767.67819,20811.83027,22053.60836,25421.0868,29288.39457,34901.27113,38303.13956,37885.53396,40983.09743,38853.06342,37972.83327,38058.61392,40698.57805,42483.51607,42937.63652,41005.47182,41604.00861,39131.89886,35925.98281,38444.28516,38168.15482,37410.42754,37434.46187,37979.31329,41037.238,46090.82752,47007.15607,46129.5347,42104.05441,41692.27191,41518.60035
C 국제벙커링 및 다국적 작전_1 벙커링_a 국제 항공,6244.18223,4259.29634,5094.72336,5632.11229,6324.924,7151.51389,7815.41431,8510.52587,7053.2915,7281.22406,7685.54924,8053.89041,9097.04486,9560.84824,10189.14306,10603.92149,8598.53676,12112.98473,11051.22967,10526.30293,11718.9152,11819.09482,11908.2133,12573.33833,12603.69039,12962.15466,14480.26079,14833.6063,15628.84041,15926.32834,9941.90041,7810.97608
C 국제벙커링 및 다국적 작전_1 벙커링_b 국제 해운,7703.10984,12508.38185,15717.10691,16421.49607,19096.1628,22136.88067,27085.85682,29792.6137,30832.24246,33701.87337,31167.51418,29918.94287,28961.56906,31137.72981,32294.37301,32333.71504,32406.93506,29491.02387,28080.66919,25399.67988,26725.36996,26349.06,25502.21424,24861.12354,25375.62291,28075.08334,31610.56673,32173.54978,30500.69429,26177.72607,31750.3715,33707.62427
C 국제벙커링 및 다국적 작전_2 다국적 작전,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
